Risk ID,Risk Title,Risk Description,Related Control Gap,Asset,Likelihood,Impact,Risk Score,Rating,Recommended Remediation,Status
R-001,Unauthorized External Access,Public network exposure could increase the possibility of unauthorized access to company storage and potential exposure of company data.,Public network access enabled from all networks,Azure Storage Account,3,5,15,High,Disable unnecessary public network access and use authorized networks or private endpoints.,Open
R-002,Shared Credential Compromise,"Storage account keys are shared credentials that could be compromised or misused, potentially providing unauthorized access to storage resources.",Storage account key access enabled,Azure Storage Account,2,4,8,Medium,Use Microsoft Entra ID authentication with least-privilege Azure RBAC assignments and disable shared-key authorization where possible.,Open
R-003,Delayed Threat Detection,Malicious activity involving storage resources may go undetected or experience delayed detection when storage-specific threat monitoring is unavailable.,Defender for Storage initially disabled,Azure Storage Account,3,5,15,High,Enable Microsoft Defender for Storage and review generated security alerts.,Remediated
R-004,Insufficient Forensic Evidence,"Security-relevant storage activity may not be adequately captured, limiting the organization's ability to investigate incidents and reconstruct events.",Diagnostic settings disabled,Azure Storage Account,4,2,8,Medium,Enable diagnostic settings and send relevant logs to a centralized logging destination.,Open
R-005,Accidental Data Overwrite,Important Blob data could be accidentally overwritten or modified without the ability to easily restore a previous version.,Blob versioning disabled,Blob Storage,4,3,12,High,Enable Blob versioning and establish an appropriate version-retention policy.,Open
R-006,Accidental Resource Deletion,An authorized administrator could accidentally delete the Storage Account because deletion protection is not configured.,No resource lock,Azure Storage Account,2,5,10,High,Apply a CanNotDelete resource lock to critical storage resources.,Open
R-007,Reduced User Accountability,Reliance on shared-key authorization may make storage activity more difficult to attribute to an individual user.,Storage account key access enabled,Azure Storage Account,4,3,12,High,Use Microsoft Entra ID authentication and individual least-privilege Azure RBAC assignments.,Open
R-008,Delayed Incident Response,"Insufficient diagnostic logging could delay incident identification, scoping, containment, and response.",Diagnostic settings disabled,Azure Storage Account,3,4,12,High,Enable diagnostic logging and centralize relevant logs for security monitoring and incident response.,Open
R-009,Malicious Data Modification,A compromised or authorized account could intentionally modify important Blob data without an easy method of restoring previous versions.,Blob versioning disabled,Blob Storage,2,3,6,Medium,Enable Blob versioning and configure appropriate retention settings.,Open
R-010,Automated Bot Scanning,"Publicly reachable cloud storage endpoints may be discovered and probed by automated scanners, increasing exposure to reconnaissance and attempted unauthorized access.",Public network access enabled from all networks,Azure Storage Account,3,4,12,High,Restrict public network access and use authorized networks or private endpoints where appropriate.,Open
R-011,Unscanned Malicious Uploads,"Files uploaded to Blob Storage may not be automatically scanned for malware, potentially allowing malicious files to be stored and later accessed or distributed.",On-upload malware scanning disabled,Blob Storage,2,5,10,High,Enable on-upload malware scanning in Microsoft Defender for Storage where appropriate.,Open
R-012,Replication and Version Recovery Limitations,Lack of Blob versioning reduces version-history protection and may complicate recovery or workflows that rely on maintaining previous object states.,Blob versioning disabled,Blob Storage,2,3,6,Medium,Enable Blob versioning and establish appropriate lifecycle and retention settings.,Open
R-013,Unresolved Policy Noncompliance,"Azure Policy findings may remain unresolved, allowing insecure or non-standard resource configurations to persist.",Azure Policy reported non-compliant policies,Azure Subscription,3,3,9,Medium,"Review non-compliant policies, prioritize applicable findings, remediate configurations, and document justified exceptions.",Open
R-014,Costly Service Disruption,Accidental deletion of an essential storage resource could cause prolonged downtime while administrators recover or rebuild affected resources.,No resource lock,Azure Storage Account,2,5,10,High,Apply a CanNotDelete resource lock and maintain tested recovery procedures.,Open
R-015,Accidental Shared-Key Exposure,"Storage account keys could be exposed through source code, scripts, configuration files, logs, documentation, or improper sharing, potentially allowing unauthorized storage access.",Storage account key access enabled,Azure Storage Account,3,4,12,High,Use Microsoft Entra ID with Azure RBAC and disable shared-key authorization where it is not required.,Open
